English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
Poetry,luulõ,pjesničtvo,Poesia,Bardhonieth,puizii
Culture,kultuur,kultura,Cultura,gonisogeth,cultură
Solidarity,ütisüs,solidarnost,Solidaritat,Unvereth,solidaritati
Freedom,vool´na olõma,sloboda,Libertad,Rydhses,libertati
Migration of birds,tsirgu' läävä' är',ptica selica,Migracion des audèths,Divroans ydhyn,migrari a puil'or
Help,abi,pomoč,Ajuda,Gweres,agiutor
Curiosity,huvi,znatiželja,Curiositat,Tronekter,curiozitati
Singing,laulminõ,jačenje,Cantar,Ow kana,căntari
Self-esteem,hindähinnäng,samopoštovanje,Autoestima,Omvri,respect de sine
Fun,ilo,"zabav, šala",Diversion,Gwari,chefi
Collaboration,ütehkuuh tüüd tegemä',suradnja,Colaboracion,Kesoberyans,lucru faptă deadun
New Things,vahtsõ as´a,novosti,Naues causes,Taklow nowydh,lucruri nali
Nature,luudus,priroda,Natura,Natur,natură
Joy,rõõm,veselje,Alegria,Lowena,harauă
Magic,nõius,čarolija,Magia,Pystri,amaie
Experiment,järgi pruumi',eksperimenat,Experiment,Prevyans,experiment
Opportunity,võimalus,prilika,Oportunitat,Chons,oportunitati
Decolonisation,dekolonisatsiuun,dekolonizacija,Descolonisacion,Didrevesigoleth,decolonizari
village,külä,selo,Pòble,Treveglos,hoară
Flock (group of birds),tsirguparv,jato,Tropèu,Hes,puil'i azburători
Butterfly,liblik,malinac,Parpalhòla,Tykki Duw,flitur
Ritual,kombõ',običaj,Rituau,Devos,adete
Life,elo,žitak,Vida,Bewnans,bană
Home,kodo,dom,Casa,Annedh,casă
Rainbow,taivaluug,kanica,arcoiris,Kammneves,curcubeu
